"","long_start","long_end","lat_start","lat_end","center_long","center_lat","area","depth","lbl","tif","tab","long_dir","lat_dir","width","corrupt"
"9608",340.26678,336.52825,29.750999,0.0974255,338.397515,14.92421225,110.8607741,-32768,"Radar_Images/tiff/s_0255xx/s_02552502_tiff.lbl","Radar_Images/tiff/s_0255xx/s_02552502_tiff.tif","Radar_Images/geom/s_0255xx/s_02552502_geom.tab","decreasing","decreasing",3824,"good"
"13837",260.63297,99.814817,-71.8655,-77.93316,180.2238935,-74.89933,975.7898742,0.04361137748,"Radar_Images/tiff/s_0364xx/s_03640701_tiff.lbl","Radar_Images/tiff/s_0364xx/s_03640701_tiff.tif","Radar_Images/geom/s_0364xx/s_03640701_geom.tab","decreasing","decreasing",3814,"good"
"570",334.46105,166.71798,-69.24687,-72.33719,250.589515,-70.79203,518.3797641,0.1327368617,"Radar_Images/tiff/s_0030xx/s_00307001_tiff.lbl","Radar_Images/tiff/s_0030xx/s_00307001_tiff.tif","Radar_Images/geom/s_0030xx/s_00307001_geom.tab","decreasing","decreasing",4890,"good"
"2202",63.680183,51.729952,74.871201,30.327317,57.7050675,52.599259,532.3097034,0.3463324308,"Radar_Images/tiff/s_0059xx/s_00591501_tiff.lbl","Radar_Images/tiff/s_0059xx/s_00591501_tiff.tif","Radar_Images/geom/s_0059xx/s_00591501_geom.tab","decreasing","decreasing",5753,"good"
"8425",225.83271,58.562821,-69.38764,-72.17636,142.1977655,-70.782,466.4688849,0.105088383,"Radar_Images/tiff/s_0226xx/s_02265501_tiff.lbl","Radar_Images/tiff/s_0226xx/s_02265501_tiff.tif","Radar_Images/geom/s_0226xx/s_02265501_geom.tab","decreasing","decreasing",4890,"good"
"8076",300.93671,133.88878,69.926704,72.967509,217.412745,71.4471065,507.9601808,0.09220974147,"Radar_Images/tiff/s_0216xx/s_02164301_tiff.lbl","Radar_Images/tiff/s_0216xx/s_02164301_tiff.tif","Radar_Images/geom/s_0216xx/s_02164301_geom.tab","decreasing","increasing",4719,"good"
"14774",283.40695,278.20047,19.820554,-21.74939,280.80371,-0.964418,216.433082,-32768,"Radar_Images/tiff/s_0376xx/s_03769901_tiff.lbl","Radar_Images/tiff/s_0376xx/s_03769901_tiff.tif","Radar_Images/geom/s_0376xx/s_03769901_geom.tab","decreasing","decreasing",5362,"good"
"827",105.74097,298.88702,72.873108,69.982332,22.313995,-18.57228,29551.37361,-32768,"Radar_Images/tiff/s_0034xx/s_00348002_tiff.lbl","Radar_Images/tiff/s_0034xx/s_00348002_tiff.tif","Radar_Images/geom/s_0034xx/s_00348002_geom.tab","decreasing","increasing",4723,"good"
"16760",168.239,10.235865,74.91291,80.061741,89.2374325,77.4873255,813.5314396,0.1418708861,"Radar_Images/tiff/s_0437xx/s_04372201_tiff.lbl","Radar_Images/tiff/s_0437xx/s_04372201_tiff.tif","Radar_Images/geom/s_0437xx/s_04372201_geom.tab","decreasing","increasing",3147,"good"
"13081",166.80092,163.03987,0.02682,29.74921,164.920395,14.888015,111.7873949,-32768,"Radar_Images/tiff/s_0354xx/s_03542801_tiff.lbl","Radar_Images/tiff/s_0354xx/s_03542801_tiff.tif","Radar_Images/geom/s_0354xx/s_03542801_geom.tab","decreasing","increasing",3833,"good"
"5826",54.23988,247.59975,72.790695,70.056223,330.919815,-18.576541,29539.55063,-32768,"Radar_Images/tiff/s_0130xx/s_01301501_tiff.lbl","Radar_Images/tiff/s_0130xx/s_01301501_tiff.tif","Radar_Images/geom/s_0130xx/s_01301501_geom.tab","decreasing","increasing",4723,"good"
"6749",122.40526,304.58342,-53.12572,-56.11029,33.49434,-54.618005,530.721729,-32768,"Radar_Images/tiff/s_0171xx/s_01713401_tiff.lbl","Radar_Images/tiff/s_0171xx/s_01713401_tiff.tif","Radar_Images/geom/s_0171xx/s_01713401_geom.tab","decreasing","decreasing",9061,"good"
"22039",266.94905,258.22471,-3.617682,-59.67021,262.58688,-31.643946,489.0213121,-32768,"Radar_Images/tiff/s_0568xx/s_05680701_tiff.lbl","Radar_Images/tiff/s_0568xx/s_05680701_tiff.tif","Radar_Images/geom/s_0568xx/s_05680701_geom.tab","decreasing","decreasing",7229,"good"
"2580",291.07541,278.99637,74.979019,29.626214,285.03589,52.3026165,547.8183457,0.3756795824,"Radar_Images/tiff/s_0065xx/s_00650001_tiff.lbl","Radar_Images/tiff/s_0065xx/s_00650001_tiff.tif","Radar_Images/geom/s_0065xx/s_00650001_geom.tab","decreasing","decreasing",5857,"good"
"17601",141.71631,133.95624,-33.93734,-69.00691,137.836275,-51.472125,272.1423181,0.503786087,"Radar_Images/tiff/s_0458xx/s_04588001_tiff.lbl","Radar_Images/tiff/s_0458xx/s_04588001_tiff.tif","Radar_Images/geom/s_0458xx/s_04588001_geom.tab","decreasing","decreasing",4525,"good"
"21985",261.34378,251.13511,-19.80748,-69.77995,256.239445,-44.793715,510.1524553,-32768,"Radar_Images/tiff/s_0567xx/s_05672801_tiff.lbl","Radar_Images/tiff/s_0567xx/s_05672801_tiff.tif","Radar_Images/geom/s_0567xx/s_05672801_geom.tab","decreasing","decreasing",6448,"good"
"4004",351.42691,184.25804,69.905205,72.994104,267.842475,71.4496545,516.3677554,0.1260047406,"Radar_Images/tiff/s_0077xx/s_00773002_tiff.lbl","Radar_Images/tiff/s_0077xx/s_00773002_tiff.tif","Radar_Images/geom/s_0077xx/s_00773002_geom.tab","decreasing","increasing",4719,"good"
