"","long_start","long_end","lat_start","lat_end","center_long","center_lat","area","depth","lbl","tif","tab","long_dir","lat_dir","width","corrupt"
"14121",224.58894,215.9394,-3.513956,-59.71504,220.26417,-31.614498,486.1135241,-32768,"Radar_Images/tiff/s_0367xx/s_03677801_tiff.lbl","Radar_Images/tiff/s_0367xx/s_03677801_tiff.tif","Radar_Images/geom/s_0367xx/s_03677801_geom.tab","decreasing","decreasing",7247,"good"
"9923",176.86647,358.9968,-53.10102,-56.18207,87.931635,-54.641545,548.0253468,-32768,"Radar_Images/tiff/s_0259xx/s_02591401_tiff.lbl","Radar_Images/tiff/s_0259xx/s_02591401_tiff.tif","Radar_Images/geom/s_0259xx/s_02591401_geom.tab","decreasing","decreasing",9055,"good"
"16443",273.17282,268.68055,49.653412,19.773971,270.926685,34.7136915,134.2265164,-32768,"Radar_Images/tiff/s_0420xx/s_04209001_tiff.lbl","Radar_Images/tiff/s_0420xx/s_04209001_tiff.tif","Radar_Images/geom/s_0420xx/s_04209001_geom.tab","decreasing","decreasing",3853,"good"
"1454",67.483671,252.02944,-60.3366,-57.73852,339.7565555,30.96244,31125.91745,0.423279196,"Radar_Images/tiff/s_0047xx/s_00471501_tiff.lbl","Radar_Images/tiff/s_0047xx/s_00471501_tiff.tif","Radar_Images/geom/s_0047xx/s_00471501_geom.tab","decreasing","decreasing",7923,"good"
"13717",258.73035,98.118634,-71.92529,-78.0393,178.424492,-74.982295,981.9816377,0.052150734,"Radar_Images/tiff/s_0362xx/s_03626201_tiff.lbl","Radar_Images/tiff/s_0362xx/s_03626201_tiff.tif","Radar_Images/geom/s_0362xx/s_03626201_geom.tab","decreasing","decreasing",3792,"good"
"18938",23.263865,226.82087,74.952919,79.929876,305.0423675,77.4413975,778.6100591,0.191877469,"Radar_Images/tiff/s_0480xx/s_04809201_tiff.lbl","Radar_Images/tiff/s_0480xx/s_04809201_tiff.tif","Radar_Images/geom/s_0480xx/s_04809201_geom.tab","decreasing","increasing",3150,"good"
"7262",28.556442,24.89217,29.668571,0.7372648,26.724306,15.2029179,106.0121752,-32768,"Radar_Images/tiff/s_0184xx/s_01849501_tiff.lbl","Radar_Images/tiff/s_0184xx/s_01849501_tiff.tif","Radar_Images/geom/s_0184xx/s_01849501_geom.tab","decreasing","decreasing",3731,"good"
"19859",263.29907,142.02704,-86.76863,-67.64888,202.663055,12.791245,19510.2745,0.093442179,"Radar_Images/tiff/s_0500xx/s_05002701_tiff.lbl","Radar_Images/tiff/s_0500xx/s_05002701_tiff.tif","Radar_Images/geom/s_0500xx/s_05002701_geom.tab","decreasing","decreasing",3096,"good"
"22515",170.29887,160.33143,-19.85629,-69.83164,165.31515,-44.843965,498.1263026,-32768,"Radar_Images/tiff/s_0581xx/s_05816901_tiff.lbl","Radar_Images/tiff/s_0581xx/s_05816901_tiff.tif","Radar_Images/geom/s_0581xx/s_05816901_geom.tab","decreasing","decreasing",6446,"good"
"16954",331.92609,320.55636,74.804497,29.700293,326.241225,52.252395,512.8226213,0.800000012,"Radar_Images/tiff/s_0443xx/s_04434301_tiff.lbl","Radar_Images/tiff/s_0443xx/s_04434301_tiff.tif","Radar_Images/geom/s_0443xx/s_04434301_geom.tab","decreasing","decreasing",5820,"good"
